,content,y_pred,y_actual
10952,Ốp Lưng Dành Cho Điện Thoại Samsung Galaxy Note 5 Mẫu 54,Phụ Kiện - Thiết Bị Số,Phụ Kiện - Thiết Bị Số
10953,Combo Cafe Phin Giấy Cao Cấp HeroCafe (Hộp 10 Gói - 160gr) + 10 Gói Đường Tiện Lợi,Hàng Tiêu Dùng - Thực Phẩm,Hàng Tiêu Dùng - Thực Phẩm
10954,Vỏ Bảo Vệ Cho Canon 5D Mark III Easycover (Xanh Quân Đội) - Hàng Nhập Khẩu,Máy Ảnh - Quay Phim,Máy Ảnh - Quay Phim
10955,Bếp Hai Từ Faster FS 782I,Điện Gia Dụng - Điện Lạnh,Điện Gia Dụng - Điện Lạnh
10956,Bộ 4 Chén Chấm Màu Pastel Dong Hwa PB1408S,Nhà Cửa Đời Sống,Nhà Cửa Đời Sống
10957,Combo 2 giá đựng hộp sữa có quai cầm mầu hồng cho bé nội địa Nhật Bản,Nhà Cửa Đời Sống,"Đồ chơi, Mẹ & Bé"
10958,Chuột Không Dây DareU LM115G MultiColor - Hàng Chính Hãng,Phụ Kiện - Thiết Bị Số,Phụ Kiện - Thiết Bị Số
10959,Bộ Bodysuit Cọp Mihababy BDS08_TIGER - Cam,"Đồ chơi, Mẹ & Bé","Đồ chơi, Mẹ & Bé"
10960,Giá Đỡ Điện Thoại Kiêm Sạc Không Dây Trên Ô Tô Cho iPhone X Và Samsung S8 S9 Baseus 10W QI,Phụ Kiện - Thiết Bị Số,"Xe Máy, Ô tô, Xe Đạp"
10961,Khóa Học Tự Tay Thiết Kế Landing Page - Thôi Miên Khách Hàng,Voucher - Dịch Vụ - Thẻ Cào,Voucher - Dịch Vụ - Thẻ Cào
10962,Điện thoại Smartphone Tplus J3S 2 sim 4GB MH 4.5 inch+ Tặng kèm ốp lưng ( Bảo hành 12 tháng),Điện Thoại - Máy Tính Bảng,Điện Thoại - Máy Tính Bảng
10963,Xe Máy Yamaha Sirius Fi RC Vành Đúc (Phiên Bản Kỷ Niệm 20 Năm),"Xe Máy, Ô tô, Xe Đạp","Xe Máy, Ô tô, Xe Đạp"
10964,Tranh dán tường cửa sổ phong cảnh 3d 77,Nhà Cửa Đời Sống,Nhà Cửa Đời Sống
10965,Loa Soundbar 2.1Ch JBL Cinema SB450,Phụ Kiện - Thiết Bị Số,Tivi - Thiết bị nghe nhìn
10966,Bột Đậu Đỏ Milaganics Hũ 100g,Làm Đẹp - Sức Khỏe,Làm Đẹp - Sức Khỏe
10967,Ốp Lưng Dành Cho iPhone 6 Plus - Mẫu 88,Phụ Kiện - Thiết Bị Số,Phụ Kiện - Thiết Bị Số
10968,Bộ KatchUp Flashcard 3000 Từ Vựng Tiếng Trung  A - High Quality,"Sách, VPP & Quà Tặng","Sách, VPP & Quà Tặng"
10969,Khóa Học Giao Tiếp Với Tuổi Teen KYNA KID22,Voucher - Dịch Vụ - Thẻ Cào,Voucher - Dịch Vụ - Thẻ Cào
10970,Gieo Mầm Tính Cách - Tử Tế,"Sách, VPP & Quà Tặng","Sách, VPP & Quà Tặng"
10971,Cà Phê Phin Giấy Venice The Farm Coffee & Tea CP01 (8 Gói x 16g),Hàng Tiêu Dùng - Thực Phẩm,Hàng Tiêu Dùng - Thực Phẩm
10972,IPHONE 4S CDMA,Điện Thoại - Máy Tính Bảng,Điện Thoại - Máy Tính Bảng
10973,Ốp Lưng Màu Grafiti dành cho iPhone 7Plus/8Plus Adidas,Phụ Kiện - Thiết Bị Số,Phụ Kiện - Thiết Bị Số
10974,"Combo 3 lọ Thực phẩm chức năng Viên uống thải độc, phòng ngừa ung thư NanoCurcumin Mộc Linh",Làm Đẹp - Sức Khỏe,Làm Đẹp - Sức Khỏe
10975,Mẹ Hỏi Bé Trả Lời (Từ 4 - 5 Tuổi),"Sách, VPP & Quà Tặng","Sách, VPP & Quà Tặng"
10976,Quạt trần HUNTER LUGANO 24261,Điện Gia Dụng - Điện Lạnh,Điện Gia Dụng - Điện Lạnh
10977,Giày Thể Thao Nam Chí Phèo - Lighting Bích,Thể Thao - Dã Ngoại,Thể Thao - Dã Ngoại
10978,Máy Làm Tỏi Đen Đa Năng Perfect PF-MC108-W (1.8L) - Trắng,Điện Gia Dụng - Điện Lạnh,Điện Gia Dụng - Điện Lạnh
10979,Hoa Tươi Chia Buồn - Yên Nghỉ 5260,Nhà Cửa Đời Sống,Nhà Cửa Đời Sống
10980,Đồ Chơi Nhà Tắm 4 Sinh Vật Biển Simba Toys (Mẫu Ngẫu Nhiên),"Đồ chơi, Mẹ & Bé","Đồ chơi, Mẹ & Bé"
10981,Bộ 5 Hũ Gia Vị Thủy Tinh Cao Cấp,Nhà Cửa Đời Sống,Nhà Cửa Đời Sống
10982,Combo balo thời trang + Thắt lưng nam da thật NT05,Thời trang - Phụ kiện,Thời trang - Phụ kiện
10983,Đồ Chơi Xe Ô Tô Điều Khiển VBCare VBC-2026B + Tặng Kèm Lục Lạc Hình Chìa Khóa,"Đồ chơi, Mẹ & Bé","Đồ chơi, Mẹ & Bé"
10984,Combo Bộ Sách Khổng Lồ Về Số Đếm Và Màu Sắc Kì Diệu,"Sách, VPP & Quà Tặng","Sách, VPP & Quà Tặng"
10985,Balo Trẻ Em Simili Navicom Hình Monster - Xanh,"Đồ chơi, Mẹ & Bé","Đồ chơi, Mẹ & Bé"
10986,Thực Phẩm Chức Năng Trị Táo Bón An Toàn Cho Bà Bầu Trẻ Nhỏ Natufib Hulipha (3g x 20 Gói),Làm Đẹp - Sức Khỏe,Làm Đẹp - Sức Khỏe
10987,Ốp Lưng Dành Cho Điện Thoại Samsung Galaxy S7 Mẫu 41,Phụ Kiện - Thiết Bị Số,Phụ Kiện - Thiết Bị Số
10988,Thú Nhồi Bông Little Footprints TMS01000 - Sư Tử Vàng Lớn,"Đồ chơi, Mẹ & Bé","Đồ chơi, Mẹ & Bé"
10989,Bóng Rổ Da PU Spalding 74-655Y - Màu Ngẫu Nhiên,Thể Thao - Dã Ngoại,Thể Thao - Dã Ngoại
10990,Nồi Cơm Điện Tử Kangaroo KG598 (1.5L) - Bạc,Điện Gia Dụng - Điện Lạnh,Điện Gia Dụng - Điện Lạnh
10991,[Một cặp] Kính Áp Tròng Dùng 1 Ngày Eye Secret KM1N - Taipei Brown,Thời trang - Phụ kiện,Thời trang - Phụ kiện
10992,Áo Thun Nam In Hình Everest AoKNAM217 (Cam),Thời trang - Phụ kiện,Thời trang - Phụ kiện
10993,Bóp viết PU dây kéo lớn - Mẫu ngẫu nhiên,Thời trang - Phụ kiện,"Sách, VPP & Quà Tặng"
10994,Laptop Dell Vostro 14 5471 70153001 Core i7-8550U/Win10 (14 inch) - Silver - Hàng Chính Hãng,Laptop - Thiết bị IT,Laptop - Thiết bị IT
10995,Đầm Thun Thổ Cẩm Cuckeo Kids T81836,"Đồ chơi, Mẹ & Bé","Đồ chơi, Mẹ & Bé"
10996,Nón Bảo Hiểm Ranking H11 FORMULA ONE-XL - Xanh Lá,"Xe Máy, Ô tô, Xe Đạp","Xe Máy, Ô tô, Xe Đạp"
10997,Khay Vệ Sinh Hình Bầu Dục AG (Cỡ Nhỏ),Nhà Cửa Đời Sống,Hàng Tiêu Dùng - Thực Phẩm
10998,Ốp Lưng dành cho Xiaomi Mi Mix 2s GOR TPU dẻo trong suốt,Phụ Kiện - Thiết Bị Số,Phụ Kiện - Thiết Bị Số
10999,Chuồng Chó Sắt Dành Cho Chó Dưới 3Kg (30 x 46cm),Hàng Tiêu Dùng - Thực Phẩm,Hàng Tiêu Dùng - Thực Phẩm
11000,Ốp Lưng Dành Cho Điện Thoại Samsung Galaxy S6 Mẫu 102,Phụ Kiện - Thiết Bị Số,Phụ Kiện - Thiết Bị Số
11001,Chuyện Kể Về Danh Nhân Thế Giới - Henry David Thoreau,"Sách, VPP & Quà Tặng","Sách, VPP & Quà Tặng"
11002,Đèn Pin Shenshui (supfire) X14 Shenhuo - Ánh Sáng Vàng,Nhà Cửa Đời Sống,Thể Thao - Dã Ngoại
11003,Bộ Dao Kéo 8 Món Bass IN.01-006,Nhà Cửa Đời Sống,Nhà Cửa Đời Sống
11004,Camera IP Wifi Japan-Alinco AW2 (1.0MP),Máy Ảnh - Quay Phim,Máy Ảnh - Quay Phim
11005,Cáp HDMI 2.0 Ugreen 50107 1.5m - Hàng Chính Hãng,Phụ Kiện - Thiết Bị Số,Phụ Kiện - Thiết Bị Số
11006,Phao Nách Cho Bé Babyhop HL-001Y - Vàng,"Đồ chơi, Mẹ & Bé","Đồ chơi, Mẹ & Bé"
11007,Thám Tử Kindaichi (Tập 11) - Án Mạng Ở Sơn Trang,"Sách, VPP & Quà Tặng","Sách, VPP & Quà Tặng"
11008,Ruột xe đạp Schwalbe 24” AV10 (40mm),"Xe Máy, Ô tô, Xe Đạp","Xe Máy, Ô tô, Xe Đạp"
11009,Thẻ Nhớ SD SanDisk Ultra Class 10 32GB - 48MB/s - Hàng Nhập Khẩu,Máy Ảnh - Quay Phim,Máy Ảnh - Quay Phim
11010,Combo 6 quần lót nữ Cotton QL 6 - 5,Thời trang - Phụ kiện,Thời trang - Phụ kiện
11011,Nước Tăng Lực Vita 500 Kwangdong (100ml),Làm Đẹp - Sức Khỏe,Hàng Tiêu Dùng - Thực Phẩm
11012,Thám Tử Kindaichi (Tập 4) - Vụ Án Bảy Bí Ẩn Ở Trường,"Sách, VPP & Quà Tặng","Sách, VPP & Quà Tặng"
11013,"Lantana Hội An Boutique Hotel & Spa 4 sao 2N1Đ - Phòng Superior, Ăn sáng cho 02 người",Voucher - Dịch Vụ - Thẻ Cào,Voucher - Dịch Vụ - Thẻ Cào
11014,Decal MC Quee Tạo Hiệu Ứng 3D Lala Shop DC1294 (50 x 70 cm),Nhà Cửa Đời Sống,Nhà Cửa Đời Sống
11015,Áo Khoác Kaki 2 Túi Cao Cấp Vanass VAK02,Thời trang - Phụ kiện,Thời trang - Phụ kiện
11016,Listen Carefully - Luyện Kỹ Năng Nghe Tiếng Anh (2013),"Sách, VPP & Quà Tặng","Sách, VPP & Quà Tặng"
11017,Danh Tác Văn Học Việt Nam -  Bỉ Vỏ,"Sách, VPP & Quà Tặng","Sách, VPP & Quà Tặng"
11018,Nước tẩy rửa nhà tắm Super Bass hương chanh 500ml nội địa Nhật Bản,Hàng Tiêu Dùng - Thực Phẩm,Hàng Tiêu Dùng - Thực Phẩm
11019,Mút Tắm Tạo Bọt Cho Bé OOE,Làm Đẹp - Sức Khỏe,Làm Đẹp - Sức Khỏe
11020,"Kính bơi mắt TRONG 6615 bao gồm bịt tai, kính bơi ngăn UV thời trang cao cấp",Thể Thao - Dã Ngoại,Thể Thao - Dã Ngoại
11021,Hạt Giống Sen Đá Mix Gavrish (0.01g),Nhà Cửa Đời Sống,Nhà Cửa Đời Sống
11022,Giày Thể Thao Nam Dunlop 190102DR6261B-S - Xám Đen,Thể Thao - Dã Ngoại,Thể Thao - Dã Ngoại
11023,Điện Thoại IVVI F2S,Phụ Kiện - Thiết Bị Số,Điện Thoại - Máy Tính Bảng
11024,Áo Tập Gym Nam Tay Dài Dây Kéo Unique Apparel ABTDDKK - Xược Xám Tiêu,Thể Thao - Dã Ngoại,Thể Thao - Dã Ngoại
11025,Áo Sơ Mi Tay Dài Bé Trai VTA KIDS BT-41108 2-10 - Caro Vàng,"Đồ chơi, Mẹ & Bé","Đồ chơi, Mẹ & Bé"
11026,Quần đũi nam ống suông vàng kem,Thời trang - Phụ kiện,Thời trang - Phụ kiện
11027,Tripod Benro Mefoto A0350Q0 - Hàng Nhập Khẩu,Máy Ảnh - Quay Phim,Máy Ảnh - Quay Phim
11028,Máy Làm Sữa Chua Kangaroo KG 82,Điện Gia Dụng - Điện Lạnh,Điện Gia Dụng - Điện Lạnh
11029,Nón Kết Kaki Jeep,Thời trang - Phụ kiện,Thời trang - Phụ kiện
11030,Bánh Lu Veritable Petit Beurreu - Kinh Đô (600g),Hàng Tiêu Dùng - Thực Phẩm,Hàng Tiêu Dùng - Thực Phẩm
11031,Ốp Lưng Dành Cho Samsung Galaxy A5 2017 Mẫu 39,Phụ Kiện - Thiết Bị Số,Phụ Kiện - Thiết Bị Số
11032,Máy Hút Mùi Canzy CZ-989,Điện Gia Dụng - Điện Lạnh,Điện Gia Dụng - Điện Lạnh
11033,Combo Loạn Thế Vi Vương (Tập 3 - 4),"Sách, VPP & Quà Tặng","Sách, VPP & Quà Tặng"
11034,Khay nướng Oval Lodge HOSD 32x17.6 cm - Sản xuất tại Mỹ,Nhà Cửa Đời Sống,Nhà Cửa Đời Sống
11035,Đèn pin LED sạc năng lượng mặt trời NanoLight SLT-001 (Đỏ),Nhà Cửa Đời Sống,Nhà Cửa Đời Sống
11036,Rổ trước 3 lổ dành cho xe máy Wave Honda,"Xe Máy, Ô tô, Xe Đạp","Xe Máy, Ô tô, Xe Đạp"
11037,Ghế Lười Hình Giọt Nước Phú Mỹ GH-GINU-NANA-070 (Nâu),Nhà Cửa Đời Sống,Nhà Cửa Đời Sống
11038,Đầm Maxi Lamer L63M17H066-F3314 - Xanh dương,Thời trang - Phụ kiện,Thời trang - Phụ kiện
11039,Bộ bàn ăn 12 sản phẩm Minh Châu,Nhà Cửa Đời Sống,Nhà Cửa Đời Sống
11040,Trà Organic Refresh Me English Tea Shop (20 Túi)  - Tặng hộp 05 gói English Tea Shop Organic,Hàng Tiêu Dùng - Thực Phẩm,Hàng Tiêu Dùng - Thực Phẩm
11041,Xe Máy Yamaha Exciter 150 Limited - Matt Green,"Xe Máy, Ô tô, Xe Đạp","Xe Máy, Ô tô, Xe Đạp"
11042,Bút Thư Pháp Artline EK - 243,"Sách, VPP & Quà Tặng","Sách, VPP & Quà Tặng"
11043,Ná gỗ thun ống.,"Đồ chơi, Mẹ & Bé",Thể Thao - Dã Ngoại
11044,Ổ cứng SSD Samsung 850 120GB 2.5-Inch SATA III MZ-7LN120 - Hãng Chính Hãng,Laptop - Thiết bị IT,Laptop - Thiết bị IT
11045,130 Bài Ngữ Pháp Tiếng Anh ,"Sách, VPP & Quà Tặng","Sách, VPP & Quà Tặng"
11046,Hộp 16 Viên Nén Cà Phê Rang Xay Nescafe Dolce Gusto - Grande Intenso 160g,Hàng Tiêu Dùng - Thực Phẩm,Hàng Tiêu Dùng - Thực Phẩm
11047,Đế Lót Giữ Nhiệt Dotea - Màu Vàng Đồng,Nhà Cửa Đời Sống,Điện Gia Dụng - Điện Lạnh
11048,Mực In Máy In Màu Ricoh 406352 - Đen - SP C310S,Laptop - Thiết bị IT,Laptop - Thiết bị IT
11049,Thực phẩm chức năng Sữa Ong Chúa Natural Life Royal Jelly - Hộp 365 Viên,Làm Đẹp - Sức Khỏe,Làm Đẹp - Sức Khỏe
11050,Balo Thời Trang Mikkor The Betty Slingpack TBSP001 - Đen,Thời trang - Phụ kiện,Thời trang - Phụ kiện
11051,Cáp Sạc Lightning Belkin F8J023bt3M-WHT 3m,Phụ Kiện - Thiết Bị Số,Phụ Kiện - Thiết Bị Số
11052,Ốp lưng dẻo cho Samsung Galaxy A7 2017 _DHCL 07,Phụ Kiện - Thiết Bị Số,Phụ Kiện - Thiết Bị Số
11053,Muối Ớt Tinh Nguyên (150g),Hàng Tiêu Dùng - Thực Phẩm,Hàng Tiêu Dùng - Thực Phẩm
11054,Ốp Lưng Dành Cho Huawei GR5 Mini - Mẫu 68,Phụ Kiện - Thiết Bị Số,Phụ Kiện - Thiết Bị Số
11055,Bông Tai Star Drop Pearl Tatiana BB2436 - Bạc,Thời trang - Phụ kiện,Thời trang - Phụ kiện
11056,Trà Jasmine Pouchong Tea Set Chinyea Teapark (Loose Tea 30g x3 Cans),Hàng Tiêu Dùng - Thực Phẩm,Hàng Tiêu Dùng - Thực Phẩm
11057,Đồng Hồ Nam Dây Thép Không Gỉ Tissot T086.407.11.291.00 (41mm) - Nâu,Thời trang - Phụ kiện,Thời trang - Phụ kiện
11058,Bộ Ga Gối Cotton Lụa Drap24 V4KM,Nhà Cửa Đời Sống,Nhà Cửa Đời Sống
11059,Dép Polo TL1902BZ,Thời trang - Phụ kiện,"Đồ chơi, Mẹ & Bé"
11060,Túi Đeo Chéo Thời Trang Nam Yuumy 25 Bò,Thời trang - Phụ kiện,Thời trang - Phụ kiện
11061,Ốp lưng dẻo cho Samsung Galaxy J7 2016 _Thổ Cẩm 05,Phụ Kiện - Thiết Bị Số,Phụ Kiện - Thiết Bị Số
11062,Vinpearl Discovery Nha Trang Empire Condotel - Studio Suite - Ăn Sáng,Voucher - Dịch Vụ - Thẻ Cào,Voucher - Dịch Vụ - Thẻ Cào
11063,"Đỡ Đá, Đích Đấm Xuất Khẩu TÂN VIỆT DDDDTV","Sách, VPP & Quà Tặng",Thể Thao - Dã Ngoại
11064,Máy Hút Bụi Toshiba VC-GC32CPV (950W) - Xanh,Điện Gia Dụng - Điện Lạnh,Điện Gia Dụng - Điện Lạnh
11065,Xịt Muỗi Raid FIK Hương Dầu Khuynh Diệp 600ml,Hàng Tiêu Dùng - Thực Phẩm,Hàng Tiêu Dùng - Thực Phẩm
11066,Đai Nịt Bụng Cho Mẹ Sau Sinh October Size XXL,"Đồ chơi, Mẹ & Bé","Đồ chơi, Mẹ & Bé"
11067,Ngăn Tủ Nắp Gập Sanka (57 x 31 cm),Nhà Cửa Đời Sống,Nhà Cửa Đời Sống
11068,Rubik Gans 356 Air Ultimate,"Đồ chơi, Mẹ & Bé","Đồ chơi, Mẹ & Bé"
11069,Quạt Sạc Tích Hợp Đèn LED Comet CRF0612 - Đen Phối Cam,Nhà Cửa Đời Sống,Điện Gia Dụng - Điện Lạnh
11070,"Mứt Thập Cẩm Mrs Bridges Four Fruit Marmalade Orange, Grapefruit, Lemon & Lime MB807 (340g)",Hàng Tiêu Dùng - Thực Phẩm,Hàng Tiêu Dùng - Thực Phẩm
11071,Ốp Lưng Dành Cho Samsung Galaxy A8 Star Mẫu 105,Phụ Kiện - Thiết Bị Số,Phụ Kiện - Thiết Bị Số
11072,Phần Mềm Diệt Virut Eset NOD32 ANTIVIRUS9 1U1Y Bản Quyền 1 Máy/ Năm,"Sách, VPP & Quà Tặng",Laptop - Thiết bị IT
11073,Vòng Tay Đá Phong Thủy Nhiều Màu Sheelove TCB-S409,Thời trang - Phụ kiện,Thời trang - Phụ kiện
11074,IPHONE 4S CDMA,Điện Thoại - Máy Tính Bảng,Điện Thoại - Máy Tính Bảng
11075,Dây chuyền Inox 12 cung hoàng đạo - Cung Bạch Dương - JHN0028,Thời trang - Phụ kiện,Thời trang - Phụ kiện
11076,Series Vũ khí Bóng Đêm - Phần 5: Linh Hồn Lạc,"Sách, VPP & Quà Tặng","Sách, VPP & Quà Tặng"
11077,Gọng Kính Unisex Levi's LS05166 C03 (58/13/140),Thời trang - Phụ kiện,Thời trang - Phụ kiện
11078,Micro Có Dây Zenbos MZ-128,Phụ Kiện - Thiết Bị Số,Tivi - Thiết bị nghe nhìn
11079,Socola Excellence 70% Cacao Lindt (100g),Hàng Tiêu Dùng - Thực Phẩm,Hàng Tiêu Dùng - Thực Phẩm
11080,Nước Hoa Hồng Tea Tree Dành Cho Da Mụn Và Da Dầu Farmasi - 1821TON (225ml),Làm Đẹp - Sức Khỏe,Làm Đẹp - Sức Khỏe
11081,Ốp lưng viền TPU cao cấp cho Samsung Galaxy Note 5 - Moon 02,Phụ Kiện - Thiết Bị Số,Phụ Kiện - Thiết Bị Số
11082,Bộ Ga Gối 100% Cotton Sợi Bông Hàn Quốc Julia 244BK18 - 1m8 x 2m,Nhà Cửa Đời Sống,Nhà Cửa Đời Sống
11083,Vòng tập luyện Pilates MD1459,Thể Thao - Dã Ngoại,Thể Thao - Dã Ngoại
11084,Trở Về Từ Xứ Tuyết - Tái Bản,"Sách, VPP & Quà Tặng","Sách, VPP & Quà Tặng"
11085,Loa Treo Western WS-5022 (360W),"Sách, VPP & Quà Tặng",Tivi - Thiết bị nghe nhìn
11086,Xiaomi Mi 4 Ram 3GB - Hàng nhập khẩu,Điện Thoại - Máy Tính Bảng,Điện Thoại - Máy Tính Bảng
11087,Cùng Khủng Long Học Tiếng Anh Theo Chủ Đề Lớp 3,"Sách, VPP & Quà Tặng","Sách, VPP & Quà Tặng"
11088,Gel Giữ Nếp Lâu Romano Classic 150g,Làm Đẹp - Sức Khỏe,Làm Đẹp - Sức Khỏe
11089,Bình Sữa Wesser Nano Silver Cổ Hẹp (140ml) - Vàng,"Đồ chơi, Mẹ & Bé","Đồ chơi, Mẹ & Bé"
11090,Laptop Dell G7 Inspiron 7588 NCR6R1 Core i5-8300H/Free Dos (15.6 inch) (Black) - Hàng Chính Hãng,Laptop - Thiết bị IT,Laptop - Thiết bị IT
11091,Túi Đeo Chéo Nam Thời Trang,Thời trang - Phụ kiện,Thời trang - Phụ kiện
11092,Bộ 2 Tạ tay cao cấp Thái Lan 2Kg BG,Thể Thao - Dã Ngoại,Thể Thao - Dã Ngoại
11093,"Lược Sừng Trâu Tự Nhiên Màu Đen L65 Hình Con Gà (Dài 18cm x 5,5cm)",Làm Đẹp - Sức Khỏe,Làm Đẹp - Sức Khỏe
11094,Siêu Đầu Bếp Tí Hon (Tập 2),"Sách, VPP & Quà Tặng","Sách, VPP & Quà Tặng"
11095,"Hạt Giống Lưu Ly Mix Gavrish (0,1g)",Nhà Cửa Đời Sống,Nhà Cửa Đời Sống
11096,Điều Kỳ Diệu Lớn,"Sách, VPP & Quà Tặng","Sách, VPP & Quà Tặng"
11097,Cà phê Delipresso French Roast 12 viên x 9g - Phương Vy,Hàng Tiêu Dùng - Thực Phẩm,Hàng Tiêu Dùng - Thực Phẩm
11098,Hạt Điều Phúc Thịnh Vị Wasabi Winut Túi Giấy (200g),Hàng Tiêu Dùng - Thực Phẩm,Hàng Tiêu Dùng - Thực Phẩm
11099,Hộp 16 Viên Nén Cà Phê Sữa Nescafe Dolce Gusto Latte Macchiato (195g),Hàng Tiêu Dùng - Thực Phẩm,Hàng Tiêu Dùng - Thực Phẩm
11100,Bộ Thiết Bị K+ Và 3 Tháng Thuê Bao Kích Hoạt Mới,"Đồ chơi, Mẹ & Bé",Tivi - Thiết bị nghe nhìn
11101,Kem Chống Lão Hóa Trắng Da Với Gigawhite Nagano NG1003 (30g),Làm Đẹp - Sức Khỏe,Làm Đẹp - Sức Khỏe
11102,Điện Thoại IPhone 5 Quốc Tế,Điện Thoại - Máy Tính Bảng,Điện Thoại - Máy Tính Bảng
11103,Bồi Dưỡng Học Sinh Giỏi THPT Vật Lí Tập 1,"Sách, VPP & Quà Tặng","Sách, VPP & Quà Tặng"
11104,Đồ Chơi Lắp Ráp Ausini - Lâu Đài Hiệp Sĩ - Lâu Đài 27301 (90 Mảnh Ghép),"Đồ chơi, Mẹ & Bé","Đồ chơi, Mẹ & Bé"
11105,Balo Praza BL151R (41 x 28 cm) - Xanh Rêu (Tặng Kèm Móc Khóa),Thời trang - Phụ kiện,Thời trang - Phụ kiện
11106,Vỏ xe đạp Schwalbe One  23-622 (700x23c),"Xe Máy, Ô tô, Xe Đạp","Xe Máy, Ô tô, Xe Đạp"
11107,Đồ Chơi Tháp Bóng Lăn Vui Nhộn Bằng Nhựa Sato Cho Bé,"Đồ chơi, Mẹ & Bé","Đồ chơi, Mẹ & Bé"
11108,Ốp Lưng Hỗ Trợ Sạc Không Dây iPhone 6 Plus / 6S Plus Nillkin Sạc Chuẩn Qi Quốc Tế,Phụ Kiện - Thiết Bị Số,Phụ Kiện - Thiết Bị Số
11109,Đồ Bơm Hơi Intex VBC-68612,"Đồ chơi, Mẹ & Bé","Đồ chơi, Mẹ & Bé"
11110,Máy Giặt Cửa Trên Samsung WA82M5110SG (8.2kg),Điện Gia Dụng - Điện Lạnh,Điện Gia Dụng - Điện Lạnh
11111,Cà phê rang xay ROCK 250gram - Bùi Văn Ngọ Coffee,Hàng Tiêu Dùng - Thực Phẩm,Hàng Tiêu Dùng - Thực Phẩm
11112,Tài Liệu Luyện Thi Năng Lực Tiếng Nhật N3 (Kèm CD Hoặc Dùng App),"Sách, VPP & Quà Tặng","Sách, VPP & Quà Tặng"
11113,Combo 2 mặt nạ Avif dưỡng da giảm lão hóa - Avif collagen anti-aging mask 21g,Làm Đẹp - Sức Khỏe,Làm Đẹp - Sức Khỏe
11114,Gạch Yoga Xốp EVC,Thể Thao - Dã Ngoại,Thể Thao - Dã Ngoại
11115,Xe Máy Yamaha Sirius Fi Vành Đúc - Đen,"Xe Máy, Ô tô, Xe Đạp","Xe Máy, Ô tô, Xe Đạp"
11116,Điện thoại độc 2 sim v5 giá rẻ,Điện Thoại - Máy Tính Bảng,Điện Thoại - Máy Tính Bảng
11117,Combo 2 chai tinh dầu tràm Huế - dầu tràm Hoàng Cung 50ml (chai nhựa),"Đồ chơi, Mẹ & Bé","Đồ chơi, Mẹ & Bé"
11118,Bộ Đồ Chơi Mê Cung Trọng Lực Thinkfun 1006-WLD,"Đồ chơi, Mẹ & Bé","Đồ chơi, Mẹ & Bé"
11119,Nôi Đưa Graco Move With Me Bretton Stripe 1989119,"Đồ chơi, Mẹ & Bé","Đồ chơi, Mẹ & Bé"
11120,Bộ 2 Gương Phụ Cầu Lồi Gắn Gương Chiếu Hậu Dành Cho Xe Ô Tô 4 - 5 Chỗ (Trắng),"Xe Máy, Ô tô, Xe Đạp","Xe Máy, Ô tô, Xe Đạp"
11121,Nhẫn Elizabeth Shop NT-5517-299 - Bạc,Thời trang - Phụ kiện,Thời trang - Phụ kiện
11122,Mỳ Fettuccine 205 Không Trứng Pasta Zara Gói 500g,Hàng Tiêu Dùng - Thực Phẩm,Hàng Tiêu Dùng - Thực Phẩm
11123,Hộp gel khử khuẩn tủ lạnh than hoạt tính Mr Fresh - Korea 300g,Hàng Tiêu Dùng - Thực Phẩm,Hàng Tiêu Dùng - Thực Phẩm
11124,Con Sẽ Làm Được! (Tái Bản 2015),"Sách, VPP & Quà Tặng","Sách, VPP & Quà Tặng"
11125,Chì Kẻ Mày Đầu Giọt Nước Maybelline (0.2g),Nhà Cửa Đời Sống,Làm Đẹp - Sức Khỏe
11126,Trò Chơi Cút Bắt - Tập 3,"Sách, VPP & Quà Tặng","Sách, VPP & Quà Tặng"
11127,Cách Kiếm Tiền Thông Minh Và Bền Vững Từ Chỉ Số Chứng Khoán Mỹ SPX - SPY,"Sách, VPP & Quà Tặng","Sách, VPP & Quà Tặng"
11128,"Phuket 4N3Đ - Blue Ocean Resort 4*, Phòng Deluxe - Tour Free & Easy",Voucher - Dịch Vụ - Thẻ Cào,Voucher - Dịch Vụ - Thẻ Cào
11129,"Siêu mỏng 5.0 ""Inch Điện Thoại Thông Minh Quad Core Android4.4 5.0MP Camera Thông Minh Dual SIM 1 gam + 8 gam Điện Thoại MỸ cắm",Điện Thoại - Máy Tính Bảng,Điện Thoại - Máy Tính Bảng
11130,Chân Váy Suông Đắp Tà Xéo Phối Nơ,Thời trang - Phụ kiện,Thời trang - Phụ kiện
11131,Điện thoại OPPO A3S (RAM 2GB - ROM 16GB) - Hãng Phân Phối Chính Thức,Điện Thoại - Máy Tính Bảng,Điện Thoại - Máy Tính Bảng
11132,Sổ Tay Mini ANGIAART - Moonlight Art (14 x 9cm),"Sách, VPP & Quà Tặng","Sách, VPP & Quà Tặng"
11133,Tranh dán tường cửa sổ phong cảnh 3d 90,Nhà Cửa Đời Sống,Nhà Cửa Đời Sống
11134,Đánh Bóng Da Hiệu Rùa Turtle Wax Luxe Leather (473ml),"Xe Máy, Ô tô, Xe Đạp","Xe Máy, Ô tô, Xe Đạp"
11135,Cà phê PV Fine Coffee French Roast 250g (Bột) - Phương Vy,Hàng Tiêu Dùng - Thực Phẩm,Hàng Tiêu Dùng - Thực Phẩm
